text,label
"When I heard that I had passed Primary School Leaving Certificate and was selected to go for Secondary education.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"The birth of my daughter.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When my nephew was born. The birth was hard, it was a big baby.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"A very good friend of mine had been away for three months. When we met again, we ran up to each other and embraced.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Several good friends made me a surprise visit and this made me happy. They are my closest friends and we had not seen each other for a long time.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"It was when I was selected to go to a Secondary school to start form I.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Meeting best friend at the airport (boyfriend) who I had missed terribly.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I am with friends and I do what pleases me this often happenes.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Last year I passed the B.A exams in Psychology in which I stood first in my class. Thus I got the first prize from the college. I was most happy to tell all this to my parents and friends.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I won the best prize in the National science fair.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Some time ago I was present at the wedding party of two close friends of mine.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I was informed that I had been accepted as a student of Psychology.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When my child was born.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When my husband and I decided to take a few days holiday after a particularly trying period.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"My friend came to see me after she had stayed abroad. I waited at the station.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I was accepted into the medical school. Medicine is a profession that I have desired ever since my childhood.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Getting a letter from a friend who did not write for a long time.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Talking to a close friend.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I went to the pub with a large group of friends, we drank and danced.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When the lady who is now my wife accepted my proposal to be my lover and future wife.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"First time I slept with my present girlfriend. Had been best friends for a year but had been hesitant about getting involved emotionally.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"[ During inter-rail-trip, after troubles, I met my little sister.]
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I got the scholarship letter from Australia.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"I went to visit friends and it was very companionable.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"On my birthday, my closest friends were here at Berkeley pithched in a lot of money each and bought me ten records to replace some of my records that were stolen. They threw a small surprise party for me too.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"After 3 weeks I saw my girlfriend again.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When my wife gave birth to a baby boy - my only son to date.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"This happened when I was selected to go to Secondary school to start Form I in October 1980.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I was admitted to a Language school. On the day when I was informed by a message and my parents congratulated me.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"Time had struck 8 o'clock when I heard from the radio that I had been selected to Robert Blake Secondary School for Form I. I was very happy for the selection. My parents and I were very happy and full of joy.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When the girl with whom I am in love smiles at me.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"I felt joy when I red my name in the list of the approved in the entrance college examination.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When an old schoolfriend phoned me to arrange an appointment to talk about old memories. I hadn't seen him for 8 years.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I passed an exam which I had failed last year.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I was in Form 4, at Secondary School, I was elected as a school Library Assistant and also the leader of Catholic Students, so I felt very joyous.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"When I was offered a place in the university as a full time student.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"The day some friends of mine and I decided to go to Galicia on holiday.
If you were a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"I found myself a place after looking for one for a long time.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
"I got a fairly large amount of my taxes back.
As a psychologist, read this post and answer the following question. Which word best describe the emotion of that post? Only choose one answer from the following options: Joy, Guilt, Fear, Anger, Sadness, Disgust, Shame.",joy
